batch_id,product_id,plant_id,production_date,quantity_produced,defect_qty
148,13,3,2025-02-21,386,9
149,2,1,2026-02-25,368,11
150,2,1,2025-07-04,197,6
151,4,1,2025-10-23,413,11
152,18,1,2025-10-08,480,11
153,4,2,2025-07-27,305,6
154,23,1,2026-06-29,291,8
155,13,1,2026-07-25,432,16
156,9,2,2026-04-20,224,6
157,1,1,2025-12-22,478,19
158,16,3,2026-05-23,325,6
159,18,1,2026-01-15,495,15
160,19,1,2026-04-16,72,2
161,13,1,2025-07-25,303,4
162,19,1,2025-06-02,497,6
163,15,1,2025-07-17,259,10
164,3,1,2025-11-18,223,5
165,3,3,2026-03-16,212,8
166,16,3,2025-03-28,366,11
167,10,3,2025-05-23,272,9
168,23,3,2026-05-20,135,5
169,2,1,2025-04-18,200,5
170,8,2,2025-08-23,137,4
171,13,2,2025-10-24,304,4
172,15,2,2026-06-05,180,7
173,15,3,2025-07-31,87,2
174,19,1,2026-04-30,403,14
175,7,3,2026-06-29,104,3
176,19,1,2025-12-19,61,2
177,9,1,2025-04-11,360,13
178,10,2,2025-10-13,360,6
179,7,2,2025-07-10,371,11
180,2,1,2026-05-17,67,2
181,3,3,2026-01-20,432,7
182,18,3,2026-03-01,321,6
183,6,1,2026-06-28,462,17
184,4,1,2025-05-08,122,2
185,22,2,2026-04-02,483,10
186,13,1,2025-06-26,282,9
187,9,2,2026-03-07,105,3
188,20,3,2026-01-21,362,4
189,15,3,2025-12-26,382,5
190,2,1,2026-07-09,109,4
191,5,1,2026-03-06,393,12
192,18,1,2025-07-28,262,9
193,20,1,2025-12-03,66,1
194,15,3,2026-02-26,100,2
195,21,1,2026-04-03,191,3
196,15,1,2025-09-25,378,15
197,2,2,2025-10-27,114,2
198,18,1,2025-09-29,466,9
199,5,2,2025-02-22,191,3
200,5,2,2025-08-17,106,1
201,1,1,2025-10-21,351,5
202,2,1,2026-04-27,319,4
203,15,2,2026-07-30,353,9
204,20,1,2026-08-07,204,8
205,2,3,2026-04-07,268,7
206,15,1,2025-05-13,214,3
207,9,2,2026-01-18,245,6
208,15,2,2026-05-06,100,1
209,21,2,2025-09-28,270,5
210,11,3,2026-04-04,262,5
211,11,2,2026-03-10,128,3
212,3,3,2025-05-26,271,9
213,5,2,2026-01-23,393,8
214,22,3,2026-04-29,494,6
215,10,2,2026-02-15,103,2
216,22,1,2025-06-10,229,5
217,9,2,2026-05-05,482,16
218,20,2,2025-03-18,361,13
219,9,1,2025-11-26,409,15
220,12,1,2025-07-16,339,4
